index,neighborhood
15.0,28
20.0,26
37.0,25
46.0,23
55.0,22
62.0,20
78.0,14
88.0,13
106.0,12
112.0,10
127.0,8
136.0,7
146.0,6
162.0,3
176.0,2
183.0,23
189.0,16
198.0,14
209.0,5
215.0,4
231.0,28
237.0,27
252.0,26
266.0,25
278.0,24
290.0,23
306.0,22
313.0,20
327.0,18
334.0,17
,14
,13
,11
,10
,8
,6
,0
,29
,28
,26
,25
,15
,12
,10
,7
,0
,23
,20
,17
,16
,14
,11
,8
,5
,1
,23
,20
,16
,14
,8
,1
,4
,28
,27
,26
,25
,24
,22
,20
,15
,14
,13
,12
,10
,8
,7
,0
,2
,29
,28
,26
,25
,15
,12
,10
,0
,3
,6
,28
,26
,24
,23
,22
,20
,18
,17
,16
,14
,13
,11
,10
,0
,2
,4
,5
,6
,27
,24
,22
,21
,19
,18
,29
,28
,26
,25
,23
,20
,14
,13
,12
,0
,2
,3
,6
,7
,8
,23
,22
,20
,18
,17
,13
,2
,4
,8
,29
,28
,26
,25
,15
,0
,3
,6
,7
,10
,28
,26
,25
,24
,23
,22
,20
,18
,17
,14
,0
,2
,6
,8
,10
,11
,28
,26
,23
,20
,16
,0
,1
,2
,4
,5
,6
,8
,10
,13
,29
,26
,25
,3
,6
,7
,12
,23
,1
,4
,5
,8
,14
,23
,22
,20
,18
,2
,4
,8
,11
,13
,24
,22
,21
,20
,19
,2
,8
,9
,11
,13
,17
,27
,24
,22
,21
,9
,18
,26
,24
,23
,22
,0
,2
,4
,5
,6
,8
,10
,11
,13
,14
,17
,18
,27
,24
,22
,9
,18
,19
,27
,26
,24
,0
,2
,6
,8
,9
,11
,13
,17
,18
,19
,20
,21
,28
,0
,1
,2
,4
,5
,8
,10
,11
,13
,14
,16
,17
,20
,27
,26
,2
,6
,8
,9
,13
,18
,19
,20
,21
,22
,29
,28
,26
,0
,2
,3
,6
,7
,10
,12
,13
,15
,28
,0
,2
,3
,6
,7
,8
,10
,12
,13
,14
,15
,20
,22
,24
,25
,2
,6
,9
,19
,21
,22
,24
,29
,0
,2
,3
,6
,7
,8
,10
,12
,13
,14
,23
,25
,26
,3
,7
,10
,12
,15
,25
,28
